Question,Answer,Full_Text
เขตอำนาจศาลปกครองอุบลราชธานี,ศาลปกครองอุบลราชธานี มีเขตอำนาจตลอดท้องที่จังหวัดอุบลราชธานี จังหวัดยโสธร จังหวัดร้อยเอ็ด จังหวัดศรีสะเกษ และจังหวัดอำนาจเจริญ ที่อยู่ : เลขที่ 444 หมู่ 3 ถนนแจ้งสนิท (กิโลเมตรที่ 9) ตำบลแจระแม อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี 34000,"คำถาม: เขตอำนาจศาลปกครองอุบลราชธานี
คำตอบ: ศาลปกครองอุบลราชธานี มีเขตอำนาจตลอดท้องที่จังหวัดอุบลราชธานี จังหวัดยโสธร จังหวัดร้อยเอ็ด จังหวัดศรีสะเกษ และจังหวัดอำนาจเจริญ ที่อยู่ : เลขที่ 444 หมู่ 3 ถนนแจ้งสนิท (กิโลเมตรที่ 9) ตำบลแจระแม อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี 34000"
เขตอำนาจศาลปกครองเพชรบุรี,ศาลปกครองเพชรบุรี มีเขตอำนาจตลอดท้องที่จังหวัดเพชรบุรี จังหวัดประจวบคีรีขันธ์ จังหวัดราชบุรี และจังหวัดสมุทรสงคราม   ที่อยู่ : ตั้งอยู่เลขที่ 980/98 ถนนเพชรเกษม ตําบลชะอํา อําเภอชะอํา จังหวัดเพชรบุรี 76120,"คำถาม: เขตอำนาจศาลปกครองเพชรบุรี
คำตอบ: ศาลปกครองเพชรบุรี มีเขตอำนาจตลอดท้องที่จังหวัดเพชรบุรี จังหวัดประจวบคีรีขันธ์ จังหวัดราชบุรี และจังหวัดสมุทรสงคราม   ที่อยู่ : ตั้งอยู่เลขที่ 980/98 ถนนเพชรเกษม ตําบลชะอํา อําเภอชะอํา จังหวัดเพชรบุรี 76120"
เขตอำนาจศาลปกครองนครสวรรค์,ศาลปกครองนครสวรรค์ มีเขตอำนาจตลอดท้องที่จังหวัดนครสวรรค์  จังหวัดชัยนาท จังหวัดเพชรบูรณ์ จังหวัดอุทัยธานี และมีเขตอำนาจเพิ่มเติม ในจังหวัดลพบุรี ที่อยู่ : ตั้งอยู่เลขที่ 9/9 หมู่ที่ 7 ตำบลกลางแดด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000,"คำถาม: เขตอำนาจศาลปกครองนครสวรรค์
คำตอบ: ศาลปกครองนครสวรรค์ มีเขตอำนาจตลอดท้องที่จังหวัดนครสวรรค์  จังหวัดชัยนาท จังหวัดเพชรบูรณ์ จังหวัดอุทัยธานี และมีเขตอำนาจเพิ่มเติม ในจังหวัดลพบุรี ที่อยู่ : ตั้งอยู่เลขที่ 9/9 หมู่ที่ 7 ตำบลกลางแดด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000"
เขตอำนาจศาลปกครองสุพรรณบุรี,ศาลปกครองสุพรรณบุรี มีเขตอำนาจท้องที่จังหวัดสุพรรณบุรี จังหวัดกาญจนบุรี จังหวัดพระนครศรีอยุธยา จังหวัดสิงห์บุรี  และจังหวัดอ่างทอง   ที่อยู่ : ตั้งอยู่เลขที่ 333 หมู่ที่ 6 ตำบลสนามชัย อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี 72000,"คำถาม: เขตอำนาจศาลปกครองสุพรรณบุรี
คำตอบ: ศาลปกครองสุพรรณบุรี มีเขตอำนาจท้องที่จังหวัดสุพรรณบุรี จังหวัดกาญจนบุรี จังหวัดพระนครศรีอยุธยา จังหวัดสิงห์บุรี  และจังหวัดอ่างทอง   ที่อยู่ : ตั้งอยู่เลขที่ 333 หมู่ที่ 6 ตำบลสนามชัย อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี 72000"
เขตอำนาจศาลปกครองภูเก็ต,มีเขตอำนาจท้องที่จังหวัดภูเก็ต จังหวัดกระบี่ จังหวัดพังงา และจังหวัดระนอง ที่อยู่ : เลขที่ 33/3 หมู่ที่ 5 ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต 83110,"คำถาม: เขตอำนาจศาลปกครองภูเก็ต
คำตอบ: มีเขตอำนาจท้องที่จังหวัดภูเก็ต จังหวัดกระบี่ จังหวัดพังงา และจังหวัดระนอง ที่อยู่ : เลขที่ 33/3 หมู่ที่ 5 ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต 83110"
เขตอำนาจศาลปกครองยะลา,ศาลปกครองยะลา มีเขตอำนาจตลอดท้องที่จังหวัดยะลา จังหวัดปัตตานี และจังหวัดนราธิวาส ที่อยู่ : เลขที่ 199 หมู่ 1 ตำบลท่าสาป อำเภอเมืองยะลา จังหวัดยะลา 95000,"คำถาม: เขตอำนาจศาลปกครองยะลา
คำตอบ: ศาลปกครองยะลา มีเขตอำนาจตลอดท้องที่จังหวัดยะลา จังหวัดปัตตานี และจังหวัดนราธิวาส ที่อยู่ : เลขที่ 199 หมู่ 1 ตำบลท่าสาป อำเภอเมืองยะลา จังหวัดยะลา 95000"
ฟ้องคดีเกี่ยวกับการกระทำโดยไม่ชอบด้วยกฎหมาย,คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐกระทำการโดยไม่ชอบด้วยกฎหมายไม่ว่าจะเป็นการออกกฎ คำสั่งหรือการกระทำอื่นใดเนื่องจากกระทำโดยไม่มีอำนาจหรือนอกเหนืออำนาจหน้าที่หรือไม่ถูกต้องตามกฎหมาย หรือโดยไม่ถูกต้องตามรูปแบบขั้นตอน หรือวิธีการอันเป็นสาระสำคัญที่กำหนดไว้สำหรับการกระทำนั้น หรือโดยไม่สุจริต หรือมีลักษณะเป็นการเลือกปฏิบัติที่ไม่เป็นธรรม หรือมีลักษณะเป็นการสร้างขั้นตอนโดยไม่จำเป็นหรือสร้างภาระให้เกิดกับประชาชนเกินสมควร หรือเป็นการใช้ดุลพินิจโดยมิชอบ,"คำถาม: ฟ้องคดีเกี่ยวกับการกระทำโดยไม่ชอบด้วยกฎหมาย
คำตอบ: คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐกระทำการโดยไม่ชอบด้วยกฎหมายไม่ว่าจะเป็นการออกกฎ คำสั่งหรือการกระทำอื่นใดเนื่องจากกระทำโดยไม่มีอำนาจหรือนอกเหนืออำนาจหน้าที่หรือไม่ถูกต้องตามกฎหมาย หรือโดยไม่ถูกต้องตามรูปแบบขั้นตอน หรือวิธีการอันเป็นสาระสำคัญที่กำหนดไว้สำหรับการกระทำนั้น หรือโดยไม่สุจริต หรือมีลักษณะเป็นการเลือกปฏิบัติที่ไม่เป็นธรรม หรือมีลักษณะเป็นการสร้างขั้นตอนโดยไม่จำเป็นหรือสร้างภาระให้เกิดกับประชาชนเกินสมควร หรือเป็นการใช้ดุลพินิจโดยมิชอบ"
ฟ้องคดีเกี่ยวกับการละเลยต่อหน้าที่หรือปฏิบัติหน้าที่ล่าช้าเกินสมควร,คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติ หรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร,"คำถาม: ฟ้องคดีเกี่ยวกับการละเลยต่อหน้าที่หรือปฏิบัติหน้าที่ล่าช้าเกินสมควร
คำตอบ: คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติ หรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร"
ฟ้องคดีเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น,คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น ของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐอันเกิดจากการ ใช้อำนาจตามกฎหมาย หรือจากกฎ คำสั่งทางปกครอง หรือคำสั่งอื่น หรือจากการละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติหรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร,"คำถาม: ฟ้องคดีเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น
คำตอบ: คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น ของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐอันเกิดจากการ ใช้อำนาจตามกฎหมาย หรือจากกฎ คำสั่งทางปกครอง หรือคำสั่งอื่น หรือจากการละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติหรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร"
ฟ้องคดีเกี่ยวกับสัญญาทางปกครอง,เป็นสัญญาที่มีคู่สัญญาอย่างน้อยฝ่ายใดฝ่ายหนึ่งเป็นหน่วยงาน ทางปกครองหรือเจ้าหน้าที่ของรัฐหรือบุคคลซึ่งกระทำการแทนรัฐและมีลักษณะเป็นสัญญาเกี่ยวกับการบริการสาธารณะสัญญาสัมปทานหรือให้จัดทำบริการสาธารณะ หรือจัดให้มีสิ่งสาธารณูปโภคหรือแสวงหาประโยชน์จากทรัพยากรธรรมชาติ (มาตรา 3),"คำถาม: ฟ้องคดีเกี่ยวกับสัญญาทางปกครอง
คำตอบ: เป็นสัญญาที่มีคู่สัญญาอย่างน้อยฝ่ายใดฝ่ายหนึ่งเป็นหน่วยงาน ทางปกครองหรือเจ้าหน้าที่ของรัฐหรือบุคคลซึ่งกระทำการแทนรัฐและมีลักษณะเป็นสัญญาเกี่ยวกับการบริการสาธารณะสัญญาสัมปทานหรือให้จัดทำบริการสาธารณะ หรือจัดให้มีสิ่งสาธารณูปโภคหรือแสวงหาประโยชน์จากทรัพยากรธรรมชาติ (มาตรา 3)"
สัญญาทางปกครองตามมติของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุดครั้งที่ 6/2544,เป็นสัญญาที่หน่วยงานทางปกครองหรือบุคคลซึ่งกระทำการแทนรัฐตกลงให้คู่สัญญาอีกฝ่ายหนึ่งเข้าดำเนินการหรือเข้าร่วมดำเนินการบริการสาธารณะโดยตรง หรือเป็นสัญญาที่มีข้อกำหนดในสัญญาซึ่งมีลักษณะพิเศษที่แสดงถึงเอกสิทธิ์ของรัฐ ทั้งนี้ เพื่อให้การใช้อำนาจทางปกครองหรือการดำเนินกิจการทางปกครอง ซึ่งก็คือการบริการสาธารณะบรรลุผล ดังนั้น หากสัญญาใดเป็นสัญญาที่หน่วยงานทางปกครองหรือบุคคลซึ่งกระทำการแทนรัฐมุ่งผูกพันตนกับคู่สัญญาอีกฝ่ายหนึ่งด้วยใจสมัครบนพื้นฐานแห่งความเสมอภาค และมิได้มีลักษณะเช่นที่กล่าวมาแล้วข้างต้น สัญญานั้นย่อมเป็นสัญญาทางแพ่ง,"คำถาม: สัญญาทางปกครองตามมติของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุดครั้งที่ 6/2544
คำตอบ: เป็นสัญญาที่หน่วยงานทางปกครองหรือบุคคลซึ่งกระทำการแทนรัฐตกลงให้คู่สัญญาอีกฝ่ายหนึ่งเข้าดำเนินการหรือเข้าร่วมดำเนินการบริการสาธารณะโดยตรง หรือเป็นสัญญาที่มีข้อกำหนดในสัญญาซึ่งมีลักษณะพิเศษที่แสดงถึงเอกสิทธิ์ของรัฐ ทั้งนี้ เพื่อให้การใช้อำนาจทางปกครองหรือการดำเนินกิจการทางปกครอง ซึ่งก็คือการบริการสาธารณะบรรลุผล ดังนั้น หากสัญญาใดเป็นสัญญาที่หน่วยงานทางปกครองหรือบุคคลซึ่งกระทำการแทนรัฐมุ่งผูกพันตนกับคู่สัญญาอีกฝ่ายหนึ่งด้วยใจสมัครบนพื้นฐานแห่งความเสมอภาค และมิได้มีลักษณะเช่นที่กล่าวมาแล้วข้างต้น สัญญานั้นย่อมเป็นสัญญาทางแพ่ง"
คดีที่ไม่อยู่ในอำนาจศาลปกครอง,เรื่องดังต่อไปนี้ไม่อยู่ในอำนาจศาลปกครอง    (1) การดำเนินการเกี่ยวกับวินัยทหาร    (2) การดำเนินการของคณะกรรมการตุลาการตามกฎหมายว่าด้วยระเบียบข้าราชการฝ่ายตุลาการ    (3) คดีที่อยู่ในอำนาจของศาลเยาวชนและครอบครัว ศาลแรงงาน ศาลภาษีอากร ศาลทรัพย์สินทางปัญญาและการค้าระหว่างประเทศ ศาลล้มละลาย หรือศาลชำนัญพิเศษอื่น,"คำถาม: คดีที่ไม่อยู่ในอำนาจศาลปกครอง
คำตอบ: เรื่องดังต่อไปนี้ไม่อยู่ในอำนาจศาลปกครอง    (1) การดำเนินการเกี่ยวกับวินัยทหาร    (2) การดำเนินการของคณะกรรมการตุลาการตามกฎหมายว่าด้วยระเบียบข้าราชการฝ่ายตุลาการ    (3) คดีที่อยู่ในอำนาจของศาลเยาวชนและครอบครัว ศาลแรงงาน ศาลภาษีอากร ศาลทรัพย์สินทางปัญญาและการค้าระหว่างประเทศ ศาลล้มละลาย หรือศาลชำนัญพิเศษอื่น"
ผู้มีสิทธิฟ้องคดี,ผู้ได้รับความเดือดร้อนเสียหายหรือจะเดือดร้อนเสียหาย อันเนื่องจากการกระทำหรือการงดเว้นการกระทำของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ หรือมีข้อโต้แย้งเกี่ยวกับสัญญาทางปกครอง,"คำถาม: ผู้มีสิทธิฟ้องคดี
คำตอบ: ผู้ได้รับความเดือดร้อนเสียหายหรือจะเดือดร้อนเสียหาย อันเนื่องจากการกระทำหรือการงดเว้นการกระทำของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ หรือมีข้อโต้แย้งเกี่ยวกับสัญญาทางปกครอง"
บุคคลไร้ความสามารถจะฟ้องคดีปกครองได้หรือไม่,ฟ้องได้ต่อเมื่อได้ปฏิบัติตามบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ว่าด้วยความสามารถ (ข้อ 26),"คำถาม: บุคคลไร้ความสามารถจะฟ้องคดีปกครองได้หรือไม่
คำตอบ: ฟ้องได้ต่อเมื่อได้ปฏิบัติตามบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ว่าด้วยความสามารถ (ข้อ 26)"
ผู้เยาว์สามารถฟ้องคดีต่อศาลปกครองได้หรือไม่,ผู้เยาว์ที่มีอายุไม่ต่ำกว่า 15 ปี บริบูรณ์ ถ้าศาลเห็นสมควรจะอนุญาตให้ฟ้องคดีด้วยตนเองก็ได้ ในกรณีนี้ ให้พนักงานเจ้าหน้าที่ของศาลแจ้งให้ผู้แทนโดยชอบธรรมของผู้เยาว์ดังกล่าวทราบ (ข้อ 27),"คำถาม: ผู้เยาว์สามารถฟ้องคดีต่อศาลปกครองได้หรือไม่
คำตอบ: ผู้เยาว์ที่มีอายุไม่ต่ำกว่า 15 ปี บริบูรณ์ ถ้าศาลเห็นสมควรจะอนุญาตให้ฟ้องคดีด้วยตนเองก็ได้ ในกรณีนี้ ให้พนักงานเจ้าหน้าที่ของศาลแจ้งให้ผู้แทนโดยชอบธรรมของผู้เยาว์ดังกล่าวทราบ (ข้อ 27)"
การมอบฉันทะ,ทำเป็นหนังสือลงลายมือชื่อผู้มอบฉันทะและผู้รับมอบฉันทะ ระบุให้ชัดเจนว่าให้มาส่งเอกสารหรือฟังการนั่งพิจารณาคดีหรือฟังการอ่านคำพิพากษาของศาล,"คำถาม: การมอบฉันทะ
คำตอบ: ทำเป็นหนังสือลงลายมือชื่อผู้มอบฉันทะและผู้รับมอบฉันทะ ระบุให้ชัดเจนว่าให้มาส่งเอกสารหรือฟังการนั่งพิจารณาคดีหรือฟังการอ่านคำพิพากษาของศาล"
การมอบอำนาจให้ทนายความบุคคลอื่นดำเนินคดีปกครองแทนตน,ต้องทำเป็นหนังสือระบุให้ชัดเจนว่าให้ผู้รับมอบอำนาจมีอำนาจการดำเนินคดีอย่างไรบ้าง และลงลายมือชื่อพร้อมแบบสำเนาบัตรประจำตัวประชาชนทั้งผู้มอบอำนาจและผู้รับมอบอำนาจและปิดอากรแสตมป์ 10 บาทกรณีมอบอำนาจกระทำการครั้งเดียว และปิดอากรแสตมป์ 30 บาท กรณีมอบอำนาจให้กระทำการมากกว่าครั้งเดียว,"คำถาม: การมอบอำนาจให้ทนายความบุคคลอื่นดำเนินคดีปกครองแทนตน
คำตอบ: ต้องทำเป็นหนังสือระบุให้ชัดเจนว่าให้ผู้รับมอบอำนาจมีอำนาจการดำเนินคดีอย่างไรบ้าง และลงลายมือชื่อพร้อมแบบสำเนาบัตรประจำตัวประชาชนทั้งผู้มอบอำนาจและผู้รับมอบอำนาจและปิดอากรแสตมป์ 10 บาทกรณีมอบอำนาจกระทำการครั้งเดียว และปิดอากรแสตมป์ 30 บาท กรณีมอบอำนาจให้กระทำการมากกว่าครั้งเดียว"
การตั้งผู้แทนในกรณีผู้ฟ้องคดีหลายคน,กรณีการฟ้องคดีที่มีผู้ฟ้องคดีหลายคนในเหตุเดียวกัน อาจยื่นคำฟ้องร่วมกันเป็นฉบับเดียวและมอบหมายให้ผู้ฟ้องคดีคนหนึ่ง เป็นผู้แทนของผู้ฟ้องคดีทุกคนและการกระทำของผู้แทนผู้ฟ้องคดีจะผูกพันผู้ฟ้องคดีทุกคน,"คำถาม: การตั้งผู้แทนในกรณีผู้ฟ้องคดีหลายคน
คำตอบ: กรณีการฟ้องคดีที่มีผู้ฟ้องคดีหลายคนในเหตุเดียวกัน อาจยื่นคำฟ้องร่วมกันเป็นฉบับเดียวและมอบหมายให้ผู้ฟ้องคดีคนหนึ่ง เป็นผู้แทนของผู้ฟ้องคดีทุกคนและการกระทำของผู้แทนผู้ฟ้องคดีจะผูกพันผู้ฟ้องคดีทุกคน"
