หมวดหมู่,ประเด็น,ข้อมูลอ้างอิง,คำถาม,แหล่งที่มาข้อมูล,วันที่อัปเดทข้อมูลล่าสุด
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองอุดรธานี,"ศาลปกครองอุดรธานีมีเขตอำนาจตลอดท้องที่จังหวัดอุดรธานี จังหวัดเลย จังหวัดหนองคาย จังหวัดหนองบัวลำภู และมีเขตอำนาจเพิ่มเติมในจังหวัดนครพนม จังหวัดบึงกาฬ และจังหวัดสกลนคร
ที่อยู่ : เลขที่ 999 หมู่ที่ 7 ตำบลบ้านขาว อำเภอเมือง จังหวัดอุดรธานี 41000","ศาลปกครองอุดรธานีมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองอุดรธานีตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองอุดรธานีได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองอุบลราชธานี,"ศาลปกครองอุบลราชธานี มีเขตอำนาจตลอดท้องที่จังหวัดอุบลราชธานี จังหวัดยโสธร จังหวัดร้อยเอ็ด จังหวัดศรีสะเกษ และจังหวัดอำนาจเจริญ
ที่อยู่ : เลขที่ 444 หมู่ 3 ถนนแจ้งสนิท (กิโลเมตรที่ 9) ตำบลแจระแม อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี 34000","ศาลปกครองอุบลราชธานีมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองอุบลราชธานีตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองอุบลราชธานีได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองเพชรบุรี,"ศาลปกครองเพชรบุรี มีเขตอำนาจตลอดท้องที่จังหวัดเพชรบุรี จังหวัดประจวบคีรีขันธ์ จังหวัดราชบุรี และจังหวัดสมุทรสงคราม  
ที่อยู่ : ตั้งอยู่เลขที่ 980/98 ถนนเพชรเกษม ตําบลชะอํา อําเภอชะอํา จังหวัดเพชรบุรี 76120","ศาลปกครองเพชรบุรีมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองเพชรบุรีตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองเพชรบุรีได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองนครสวรรค์,"ศาลปกครองนครสวรรค์ มีเขตอำนาจตลอดท้องที่จังหวัดนครสวรรค์ 
จังหวัดชัยนาท จังหวัดเพชรบูรณ์ จังหวัดอุทัยธานี และมีเขตอำนาจเพิ่มเติม
ในจังหวัดลพบุรี
ที่อยู่ : ตั้งอยู่เลขที่ 9/9 หมู่ที่ 7 ตำบลกลางแดด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000","ศาลปกครองนครสวรรค์มีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองนครสวรรค์ตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองนครสวรรค์ได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองสุพรรณบุรี,"ศาลปกครองสุพรรณบุรี มีเขตอำนาจท้องที่จังหวัดสุพรรณบุรี จังหวัดกาญจนบุรี จังหวัดพระนครศรีอยุธยา จังหวัดสิงห์บุรี  และจังหวัดอ่างทอง  
ที่อยู่ : ตั้งอยู่เลขที่ 333 หมู่ที่ 6 ตำบลสนามชัย อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี 72000","ศาลปกครองสุพรรณบุรีมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองสุพรรณบุรีตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองสุพรรณบุรีได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองภูเก็ต,"มีเขตอำนาจท้องที่จังหวัดภูเก็ต จังหวัดกระบี่ จังหวัดพังงา และจังหวัดระนอง
ที่อยู่ : เลขที่ 33/3 หมู่ที่ 5 ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต 83110","ศาลปกครองภูเก็ตมีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองภูเก็ตตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองภูเก็ตได้ไหม;",,
เขตอำนาจศาลปกครองในเชิงพื้นที่,เขตอำนาจศาลปกครองยะลา,"ศาลปกครองยะลา มีเขตอำนาจตลอดท้องที่จังหวัดยะลา จังหวัดปัตตานี และจังหวัดนราธิวาส
ที่อยู่ : เลขที่ 199 หมู่ 1 ตำบลท่าสาป อำเภอเมืองยะลา จังหวัดยะลา 95000","ศาลปกครองยะลามีเขตอำนาจครอบคลุมพื้นที่ใดบ้าง;
ศาลปกครองยะลาตั้งอยู่ที่ไหน;
จะฟ้องที่ศาลปกครองยะลาได้ไหม;",,
เหตุแห่งการฟ้องคดีปกครอง,ฟ้องคดีเกี่ยวกับการกระทำโดยไม่ชอบด้วยกฎหมาย,คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐกระทำการโดยไม่ชอบด้วยกฎหมายไม่ว่าจะเป็นการออกกฎ คำสั่งหรือการกระทำอื่นใดเนื่องจากกระทำโดยไม่มีอำนาจหรือนอกเหนืออำนาจหน้าที่หรือไม่ถูกต้องตามกฎหมาย หรือโดยไม่ถูกต้องตามรูปแบบขั้นตอน หรือวิธีการอันเป็นสาระสำคัญที่กำหนดไว้สำหรับการกระทำนั้น หรือโดยไม่สุจริต หรือมีลักษณะเป็นการเลือกปฏิบัติที่ไม่เป็นธรรม หรือมีลักษณะเป็นการสร้างขั้นตอนโดยไม่จำเป็นหรือสร้างภาระให้เกิดกับประชาชนเกินสมควร หรือเป็นการใช้ดุลพินิจโดยมิชอบ,"คดีเกี่ยวกับการกระทำไม่ชอบด้วยกฎหมายเป็นยังไง;
",,
เหตุแห่งการฟ้องคดีปกครอง,ฟ้องคดีเกี่ยวกับการละเลยต่อหน้าที่หรือปฏิบัติหน้าที่ล่าช้าเกินสมควร,คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติ หรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร   ,"คดีเกี่ยวกับการละเลยต่อหน้าที่หรือปฏิบัติหน้าที่ล่าช้าเกินสมควรเป็นยังไง;
",,
เหตุแห่งการฟ้องคดีปกครอง,ฟ้องคดีเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น,"คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น
ของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐอันเกิดจากการ
ใช้อำนาจตามกฎหมาย หรือจากกฎ คำสั่งทางปกครอง หรือคำสั่งอื่น หรือจากการละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติหรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควร","คดีเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น
ของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐอันเกิดจากการ
ใช้อำนาจตามกฎหมาย หรือจากกฎ คำสั่งทางปกครอง หรือคำสั่งอื่น หรือจากการละเลยต่อหน้าที่ตามที่กฎหมายกำหนดให้ต้องปฏิบัติหรือปฏิบัติหน้าที่ดังกล่าวล่าช้าเกินสมควรเป็นยังไง;
",,
เหตุแห่งการฟ้องคดีปกครอง,ฟ้องคดีเกี่ยวกับสัญญาทางปกครอง,"เป็นสัญญาที่มีคู่สัญญาอย่างน้อยฝ่ายใดฝ่ายหนึ่งเป็นหน่วยงาน
ทางปกครองหรือเจ้าหน้าที่ของรัฐหรือบุคคลซึ่งกระทำการแทนรัฐและมีลักษณะเป็นสัญญาเกี่ยวกับการบริการสาธารณะสัญญาสัมปทานหรือให้จัดทำบริการสาธารณะ หรือจัดให้มีสิ่งสาธารณูปโภคหรือแสวงหาประโยชน์จากทรัพยากรธรรมชาติ (มาตรา 3)","คดีเกี่ยวกับสัญญาทางปกครองเป็นยังไง;
สัญญาทางปกครองมีลักษณะอย่างไร;",,
เหตุแห่งการฟ้องคดีปกครอง,สัญญาทางปกครองตามมติของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุดครั้งที่ 6/2544,"เป็นสัญญาที่หน่วยงานทางปกครองหรือบุคคลซึ่งกระทำการแทนรัฐตกลงให้คู่สัญญาอีกฝ่ายหนึ่งเข้าดำเนินการหรือเข้าร่วมดำเนินการบริการสาธารณะโดยตรง หรือเป็นสัญญาที่มีข้อกำหนดในสัญญาซึ่งมีลักษณะพิเศษที่แสดงถึงเอกสิทธิ์ของรัฐ ทั้งนี้ เพื่อให้การใช้อำนาจทางปกครองหรือการดำเนินกิจการทางปกครอง ซึ่งก็คือการบริการสาธารณะบรรลุผล ดังนั้น หากสัญญาใดเป็นสัญญาที่หน่วยงานทางปกครองหรือบุคคลซึ่งกระทำการแทนรัฐมุ่งผูกพันตนกับคู่สัญญาอีกฝ่ายหนึ่งด้วยใจสมัครบนพื้นฐานแห่งความเสมอภาค และมิได้มีลักษณะเช่นที่กล่าวมาแล้วข้างต้น สัญญานั้นย่อมเป็นสัญญาทางแพ่ง
","คดีเกี่ยวกับสัญญาทางปกครองเป็นยังไง;
สัญญาทางปกครองมีลักษณะอย่างไร;",,
เหตุแห่งการฟ้องคดีปกครอง,คดีที่ไม่อยู่ในอำนาจศาลปกครอง,"เรื่องดังต่อไปนี้ไม่อยู่ในอำนาจศาลปกครอง
   (1) การดำเนินการเกี่ยวกับวินัยทหาร
   (2) การดำเนินการของคณะกรรมการตุลาการตามกฎหมายว่าด้วยระเบียบข้าราชการฝ่ายตุลาการ
   (3) คดีที่อยู่ในอำนาจของศาลเยาวชนและครอบครัว ศาลแรงงาน ศาลภาษีอากร ศาลทรัพย์สินทางปัญญาและการค้าระหว่างประเทศ ศาลล้มละลาย หรือศาลชำนัญพิเศษอื่น","คดีใดบ้างไม่อยู่ในอำนาจของศาลปกครอง;
วินัยทหารอยู่ในอำนาจของศาลปกครองไหม;
",,
ผู้มีสิทธิฟ้องคดีปกครอง,ผู้มีสิทธิฟ้องคดี,ผู้ได้รับความเดือดร้อนเสียหายหรือจะเดือดร้อนเสียหาย อันเนื่องจากการกระทำหรือการงดเว้นการกระทำของหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ หรือมีข้อโต้แย้งเกี่ยวกับสัญญาทางปกครอง,"ผู้มีสิทธิฟ้องคดีปกครองคือใคร;
ใครมีสิทธิฟ้อง;
ผู้ที่ฟ้องคดีได้คือใคร;
ผมจะฟ้องคดีปกครองได้ไหม;",,
ผู้มีสิทธิฟ้องคดีปกครอง,บุคคลไร้ความสามารถ,ฟ้องได้ต่อเมื่อได้ปฏิบัติตามบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ว่าด้วยความสามารถ (ข้อ 26),"บุคคลไร้ความสามารถจะฟ้องคดีปกครองได้หรือไม่;
คนพิการฟ้องได้ไหม;
คนไร้ความสามารถฟ้องได้ไหม;
คนพิการฟ้องศาลได้ไหม;
คนพิการฟ้องได้หรือเปล่า;",,
ผู้มีสิทธิฟ้องคดีปกครอง,ผู้เยาว์,ผู้เยาว์ที่มีอายุไม่ต่ำกว่า 15 ปี บริบูรณ์ ถ้าศาลเห็นสมควรจะอนุญาตให้ฟ้องคดีด้วยตนเองก็ได้ ในกรณีนี้ ให้พนักงานเจ้าหน้าที่ของศาลแจ้งให้ผู้แทนโดยชอบธรรมของผู้เยาว์ดังกล่าวทราบ (ข้อ 27),"ผู้เยาว์สามารถฟ้องคดีต่อศาลปกครองได้หรือไม่;
ผู้เยาว์ฟ้องศาลได้ไหม;
เด็กฟ้องศาลได้ไหม;
",,
การมอบฉันทะ การมอบอำนาจ,การมอบฉันทะ,ทำเป็นหนังสือลงลายมือชื่อผู้มอบฉันทะและผู้รับมอบฉันทะ ระบุให้ชัดเจนว่าให้มาส่งเอกสารหรือฟังการนั่งพิจารณาคดีหรือฟังการอ่านคำพิพากษาของศาล,"มอบฉันทะทำยังไง;
มอบอำนาจทำยังไง;
",,
การมอบฉันทะ การมอบอำนาจ,การมอบอำนาจให้ทนายความบุคคลอื่นดำเนินคดีปกครองแทนตน,ต้องทำเป็นหนังสือระบุให้ชัดเจนว่าให้ผู้รับมอบอำนาจมีอำนาจการดำเนินคดีอย่างไรบ้าง และลงลายมือชื่อพร้อมแบบสำเนาบัตรประจำตัวประชาชนทั้งผู้มอบอำนาจและผู้รับมอบอำนาจและปิดอากรแสตมป์ 10 บาทกรณีมอบอำนาจกระทำการครั้งเดียว และปิดอากรแสตมป์ 30 บาท กรณีมอบอำนาจให้กระทำการมากกว่าครั้งเดียว,"การมอบอำนาจให้ทนายความบุคคลอื่นดำเนินคดีปกครองแทนตนทำได้ไหม ทำอย่างไร;
มอบอำนาจให้ทนายทำยังไง;
มอบอำนาจให้ทนายความได้หรือไม่;
มอบอำนาจให้ทนายไปดำเนินการได้ไหม ทำอย่างไร;",,
การมอบฉันทะ การมอบอำนาจ,การตั้งผู้แทนในกรณีผู้ฟ้องคดีหลายคน,กรณีการฟ้องคดีที่มีผู้ฟ้องคดีหลายคนในเหตุเดียวกัน อาจยื่นคำฟ้องร่วมกันเป็นฉบับเดียวและมอบหมายให้ผู้ฟ้องคดีคนหนึ่ง เป็นผู้แทนของผู้ฟ้องคดีทุกคนและการกระทำของผู้แทนผู้ฟ้องคดีจะผูกพันผู้ฟ้องคดีทุกคน,"การตั้งผู้แทนในกรณีผู้ฟ้องคดีหลายคนทำยังไง;
การตั้งผู้แทนทำได้อย่างไร;
ตั้งผู้แทนไปฟ้องได้ไหม;
ตั้งตัวแทนไปฟ้งยังไง;
มอบตัวแทนไปฟ้องได้ไหม;

",,
การมอบฉันทะ การมอบอำนาจ,บุคคลทั่วไป  ข้าราชการ พนักงาน ลูกจ้างของหน่วยงานของรัฐ เป็นผู้รับมอบอำนาจให้ดำเนินคดีปกครองแทนคู่กรณีได้หรือไม่,คู่กรณีในคดีปกครองซึ่งเป็นบุคคลธรรมดา หรือนิติบุคคลอาจมอบอำนาจให้ทนายความหรือบุคคลอื่นซึ่งบรรลุนิติภาวะแล้วและมีความสามารถที่อาจดำเนินการแทนผู้มอบอำนาจได้สำหรับคู่กรณีซึ่งเป็นหน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ อาจมอบอำนาจให้ข้าราชการ พนักงานหรือลูกจ้าง แล้วแต่กรณี ของหน่วยงานทางปกครองนั้น หรือหน่วยงานทางปกครองที่เจ้าหน้าที่ของรัฐนั้นสังกัดอยู่ หรือพนักงานอัยการฟ้องคดีหรือดำเนินคดีปกครองแทนได้ (ข้อ ๒๐ แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยองค์คณะฯ พ.ศ. ๒๕๔๔),บุคคลทั่วไป  ข้าราชการ พนักงาน ลูกจ้างของหน่วยงานของรัฐ เป็นผู้รับมอบอำนาจให้ดำเนินคดีปกครองแทนคู่กรณีได้หรือไม่;,,
การมอบฉันทะ การมอบอำนาจ,ติดอากรแสตมป์ในการกระทำการครั้งเดียว,การมอบอำนาจให้บุคคลคนเดียวหรือหลายคนกระทำการครั้งเดียว ต้องปิดอากรแสตมป์ ๑๐ บาท ผู้ที่ต้องเสียอากร คือ ผู้มอบอำนาจ ผู้ที่ต้องขีดฆ่าอากร คือ ผู้รับมอบอำนาจ  (มาตรา ๑๐๔ แห่งประมวลรัษฎากร),"หนังสือมอบอำนาจให้บุคคลคนเดียวหรือหลายคนกระทำการครั้งเดียว ต้องปิดอากรแสตมป์ อย่างไร;
ติดอากรแสตมป์กี่บาท;",,
การมอบฉันทะ การมอบอำนาจ,ติดอากรแสตมป์ในการกระทำการหลายครั้ง,การมอบอำนาจให้บุคคลคนเดียวหรือหลายคนร่วมกระทำการมากกว่าครั้งเดียว ต้องปิด อากรแสตมป์ ๓๐ บาท ผู้ที่ต้องเสียอากร คือ ผู้มอบอำนาจ ผู้ที่ต้องขีดฆ่าอากร คือ ผู้รับมอบอำนาจ (มาตรา ๑๐๔ แห่งประมวลรัษฎากร),"หนังสือมอบอำนาจให้บุคคลคนเดียวหรือหลายคนร่วมกระทำการมากกว่าครั้งเดียว ต้องปิดอากรแสตมป์จำนวนเท่าไร;
ติดอากรแสตมป์กี่บาท; ",,
การมอบฉันทะ การมอบอำนาจ,ติดอากรแสตมป์ในการมอบอำนาจให้ผู้มอบอำนาจหลายคน,การมอบอำนาจที่มีผู้มอบอำนาจหลายคน การปิดอากรต้องปิดอากรแสตมป์ตามรายตัว บุคคลผู้มอบคนหนึ่งเป็นเรื่องหนึ่ง (มาตรา ๑๐๘ แห่งประมวลรัษฎากร),กรณีผู้มอบอำนาจมีหลายคนแต่มิได้เป็นผู้มีอำนาจร่วมกันแล้วมอบอำนาจในตราสารฉบับเดียวกัน ต้องปิดอากรแสตมป์จำนวนเท่าไร;,,
การมอบฉันทะ การมอบอำนาจ,ติดอากรแสตมป์ในการมอบอำนาจของบุคคลผู้กระทำการในนามของรัฐ หรือหน่วยงานทางปกครอง,ถ้าฝ่ายที่ต้องเสียอากรเป็นรัฐบาล เจ้าพนักงานผู้กระทำงานของรัฐโดยหน้าที่ บุคคลผู้กระทำการในนามของรัฐบาล องค์การบริหารส่วนท้องถิ่น สภากาชาดไทย วัดวาอาราม และองค์การศาสนาใด ๆ ในราชอาณาจักรซึ่งเป็นนิติบุคคล อากรเป็นอันไม่ต้องเสีย แต่ข้อยกเว้นนี้มิให้ใช้แก่องค์การของรัฐบาลที่ใช้ทุนหรือทุนหมุนเวียนเพื่อประกบการพาณิชย์ หรือการพาณิชย์ซึ่งองค์การบริหารราชการส่วนท้องถิ่นเป็นผู้จัดทำ (มาตรา ๑๒๑ แห่งประมวลรัษฎากร) ,การมอบอำนาจของบุคคลผู้กระทำการในนามของรัฐ หรือหน่วยงานทางปกครองแล้วแต่กรณี ต้องปิดอากรแสตมป์หรือไม่;,,
การมอบฉันทะ การมอบอำนาจ,จำนวนพยานในการมอบอำนาจ,การมอบฉันทะให้ผู้อื่นยื่นเอกสารหรือพยานหลักฐานต่อศาล ให้ทำเป็นหนังสือลงลายมือชื่อผู้มอบ ผู้รับมอบ และพยาน โดยต้องมีพยานลงลายมือชื่อรับรองเอกสารอย่างน้อยหนึ่งคน จึงจะถือว่าชอบด้วยกฎหมาย (ข้อ ๑๓ แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๓) ,"การมอบฉันทะให้ยื่นเอกสารหรือพยานหลักฐานต่อศาลต้องมีพยานลงลายมือชื่อรับรองกี่คน;
มอบอำนาจใช้พยานกี่คน;",,
