Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,วันและเวลา ที่ให้คำปรึกษาแนะนำ,วิธีขอรับคำปรึกษา,สถานะของผู้ขอคำปรึกษา,อาชีพ,ภูมิลำเนา (จังหวัดอื่นโปรดระบุช่องอื่นๆ),ประเภทของคดีที่ให้คำปรึกษา,"คดี
ตามมาตรา",ประเด็นที่ขอคำปรึกษา (เลือกได้หลายช่อง),ข้อเท็จจริง/ประเด็นที่ขอคำปรึกษาแนะนำ ,ผลการให้คำปรึกษาแนะนำ
,,บุคคลทั่วไป,,,,,,ยื่นคำอุทธรณ์แต่มีข้อความหลายหน้าจึงได้,กรณีนี้ต้องไปดึงเอกสารประกอบ,,,,,,,,,,
,,,,,,,,ยื่นคำอุทธรณ์และเอกสารประกอบเพิ่ม,คำอุทธรณ์ที่อยู่ในไฟล์คำขอ ดึงข้อมูล,,,,,,,,,,
,,,,,,,,แต่เข้าไปอยู่ในส่วนของคำขอ ทำให้,มาปริ้นท์เพิ่ม,,,,,,,,,,
,,,,,,,,คำอุทธรณ์และเอกสารประกอบคำอุทธรณ์,,,,,,,,,,,
,,,,,,,,มาไม่ครบ,,,,,,,,,,,
2024-11-20 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ประสงค์จะขอคัดถ่ายคำแก้อุทธรณ์ ,เนื่องจากท่านตุลาการยังไม่มีคำสั่งรับใน ,,,,,,,,,,
,,,,,,,การใช้งาน,ของผู้ถูกฟ้องคดี (คู่กรณีในอุทธรณ์),คำแก้อุทธรณ์ อยู่ในระหว่างรอคำสั่ง,,,,,,,,,,
,,,,,,,,,ท่านตุลาการ จึงยังไม่สามารถขอคัดถ่าย,,,,,,,,,,
,,,,,,,,,ได้ (ถ้าท่านสั่งรับคำแก้อุทธรณ์แล้ว ,,,,,,,,,,
,,,,,,,,,จะทำการออกหมายแจ้งผู้ฟ้องคดี ,,,,,,,,,,
,,,,,,,,,(ผู้อุทธรณ์) ตามขั้นตอนของศาลต่อไป,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,แจ้งว่ามี เมล์แจ้งเตือนว่ามีเอกสารเข้า ,ติดต่อเทคโนว่าเกิดจากข้อผิดพลาด,,,,,,,,,,
,,,,,,,การใช้งาน,แต่พอเข้าไปเช็คในระบบคดี ไม่พบว่า,จากระบบ,,,,,,,,,,
,,,,,,,,มีเอกสารดังกล่าวเข้ามา (หมาย. ต.10.5),,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้ขอคำปรึกษาแจ้งว่ามี Sms แจ้งว่ามีเอกสาร,ตรวจสอบแล้ว พบว่าไฟล์หมดอายุ,,,,,,,,,,
,,,,,,,การใช้งาน,เข้าแต่ไม่สามารถเปิดดูไฟล์ได้,ไม่สามารถเปิดดูได้ ,,,,,,,,,,
2024-12-09 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้ฟ้องคดีประสงค์จะยื่นขอคัดถ่าย  คำร้อง,ประสานรับฟ้องเรื่องการออกเลขคดี,,,,,,,,,,
,,,,,,,การใช้งาน,อุทธรณ์แต่ยังไม่ทราบเลขคดีของศาลสูง,และรับฟ้องได้ออกเลขคดีเป็นเลขคดี,,,,,,,,,,
,,,,,,,,เนื่องจากศาลกลางพึ่งส่งสำนวนมาที่ศาลสูง,"คร.143-1454/67 , คร.1455-1456/67 ",,,,,,,,,,
,,,,,,,,ซึ่งยังไม่มีการออกเลขคดี,แจ้งผู้ฟ้องคดีทราบ,,,,,,,,,,
2024-12-16 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้รับมอบอำนาจผู้ถูกฟ้องคดีได้รับหนังสือ,แจ้งว่าศาลจะส่งหมาย ทางระบบ e,,,,,,,,,,
,,,,,,,การใช้งาน,สอบถามความประสงค์การใช้ระบบ,"ให้ผู้รับมอบอำนาจผู้ถูกฟ้องคดีที่ 2, 3 ",,,,,,,,,,
,,,,,,,,อิเล็กทรอนิกส์ และได้ตอบรับการใช้ระบบ,ทราบ,,,,,,,,,,
,,,,,,,,อิเล็กทรอนิกส์ เรียบร้อยแล้ว อยากทราบว่า,,,,,,,,,,,
,,,,,,,,ในการส่งหมายครั้งต่อไป ศาลจะส่งหมาย,,,,,,,,,,,
,,,,,,,,ทางอิเล็กทรอนิกส์ ให้ผู้รับมอบอำนาจ,,,,,,,,,,,
,,,,,,,,ผู้ถูกฟ้องคดีทราบใช่หรือไหม,,,,,,,,,,,
2024-12-18 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้รับมอบอำนาจผู้ถูกฟ้องคดีแจ้งว่า,โทรแจ้งให้ผู้รับมอบอำนาจผู้ถูกฟ้องคดี ,,,,,,,,,,
,,,,,,,การใช้งาน,ศาลปกครองสูงสุดได้ส่งหมาย ต.10.3 ,เขียนคำร้องในระบบอิเล็กทรอนิกส์,,,,,,,,,,
,,,,,,,,ให้ผู้รับมอบอำนาจผู้ถูกฟ้องคดียื่นเอกสาร,ขอตรวจดูสำนวน โดยขอเปิดสิทธิ์การ,,,,,,,,,,
,,,,,,,,ประกอบคำอุทธรณ์ที่กล่าวอ้างในคำอุทธรณ์,เข้าถึงระบบอิเล็กทรอนิกส์พื่อที่จะ,,,,,,,,,,
,,,,,,,, ผู้รับมอบอำนาจผู้ถูกฟ้องคดี จึงเข้าระบบ,สามารถตรวจดูสำนวนได้,,,,,,,,,,
,,,,,,,,อิเล็กทรอนิกส์ ซึ่งผู้รับมอบอำนาจ,,,,,,,,,,,
,,,,,,,,ผู้ถูกฟ้องคดีได้ตอบรับการใช้ระบบ,,,,,,,,,,,
,,,,,,,,อิเล็กทรอนิกส์ เมื่อวันที่ 11 ก.ย. 67 ,,,,,,,,,,,
,,,,,,,,แต่ไม่สามารถดูคำอุทธรณ์ที่ยื่น เมื่อวันที่ ,,,,,,,,,,,
,,,,,,,,17 ต.ค. 67 ได้,,,,,,,,,,,
2024-12-18 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,คู่กรณีในอุทธรณ์ลงทะเบียนใช้ระบบ,ติดต่อ สวส.ให้ดำเนินการเชื่อมต่อข้อมูล,,,,,,,,,,
,,,,,,,การใช้งาน,อิเล็กทรอนิกส์ในศาลชั้นต้น แต่ไม่เชื่อมต่อ,ให้สามารถส่งหมายทางอิเล็กทรอนิกส์ได้ ,,,,,,,,,,
,,,,,,,,ในชั้นอุทธรณ์ทำให้ส่งหมายทางระบบไม่ได้,เนื่องจากการแก้ไขระบบยังไม่สมบูรณ์,,,,,,,,,,
,,,,,,,,,ทั้งหมดเมื่อเกิดกรณีดังกล่าวให้โทรแจ้ง,,,,,,,,,,
,,,,,,,,,สวส. เป็นรายไป,,,,,,,,,,
2024-12-24 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,"ผู้รับมอบอำนาจผู้ถูกฟ้องคดี ที่ 1,3,4 จะยื่น",เช็คข้อมูลในระบบอิเล็กทรอนิกส์พบว่า,,,,,,,,,,
,,,,,,,การใช้งาน,คำแก้อุทธรณ์ในระบบแต่ปรากฏว่าในระบบ,"ในศาลปกครองสูงสุด จะเรียงลำดับ1,2,3  ",,,,,,,,,,
,,,,,,,,อิเล็กทรอนิกส์ ของศาลปกครองสูงสุด ไม่มี,คือชื่อคู่กรณีในอุทธรณ์ และตามด้วย,,,,,,,,,,
,,,,,,,,"ให้เลือกผู้ถูกฟ้องคดีที่ 1,3,4 แต่มีชื่อคู่กรณี","สถานะเดิม คือ ผู้ถูกฟ้องคดีที่ 1,3,4 ",,,,,,,,,,
,,,,,,,,"ในอุทธรณ์ลำดับที่ 1,2,3 ซึ่งไม่แน่ใจว่า",(ในศาลปกครองชั้นต้น) ซึ่งถ้าผรม.,,,,,,,,,,
,,,,,,,,ถูกต้องหรือไม่,"ที่ 1,3,4 จะยื่นคำแก้อุทธรณ์ ก็สามารถ",,,,,,,,,,
,,,,,,,,,คลิกเลือก ชื่อคู่กรณีในอุทธรณ์ ,,,,,,,,,,
,,,,,,,,,"ลำดับที่ 1,2,3  ได้เลย",,,,,,,,,,
2024-12-25 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้รับมอบอำนาจผู้ถูกฟ้องคดีแจ้งว่าได้รับ,ประสานกับทางกลุ่มออกหมายปรากฏว่า,,,,,,,,,,
,,,,,,,การใช้งาน,ข้อความแจ้งจากศาลว่ามีหมายเข้ามา,ในขั้นตอนการกดนำส่งหมายแล้วนั้น ,,,,,,,,,,
,,,,,,,,ในระบบอิเล็กทรอนิกส์ แต่ปรากฏว่าเปิด,จนท. พบว่ามีชื่อคู่กรณีผิดจึงได้ทำการ,,,,,,,,,,
,,,,,,,,เข้าไปดูในระบบไม่พบว่ามีหมายตามที่,ยกเลิกการส่งหมาย และได้เสนอหมาย,,,,,,,,,,
,,,,,,,,ศาลแจ้ง,ให้ท่านลงนามใหม่ และได้กดนำส่งหมาย,,,,,,,,,,
,,,,,,,,,อีกครั้ง ให้คู่กรณีทราบ,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้รับมอบอำนาจผู้ถูกฟ้องคดีแจ้งว่า ได้รับ,ตรวจสอบแล้วพบว่าระบบ ADM Case ,,,,,,,,,,
,,,,,,,การใช้งาน,หมาย ต.3 จากศาลแต่ไม่พบเอกสารแนบ,ของศาลขัดข้อง และได้โทรแจ้งให้,,,,,,,,,,
,,,,,,,,,ผู้รับมอบอำนาจผู้ถูกฟ้องคดี ทราบ ,,,,,,,,,,
2025-01-01 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,สอบถามการนับระยะเวลาครบกำหนดในการ,หมายแจ้งถือว่าได้รับตั้งแต่ส่งผ่านระบบ,,,,,,,,,,
,,,,,,,การใช้งาน,ดำเนินการตามคำสั่งศาล และสอบถามการยื่น,และกรณีไม่มีพยานหลักฐานตามที่ศาล,,,,,,,,,,
,,,,,,,,พยานหลักฐานตามคำสั่งศาล,มีหมายเรียกให้ทำคำร้องชี้แจงต่อศาล,,,,,,,,,,
2025-01-01 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,1.การยื่นขอขยายระยะเวลาผ่านทางระบบ,1. เช็คเอกสารที่คู่กรณีส่งผ่านระบบ,,,,,,,,,,
,,,,,,,การใช้งาน,ได้รับหรือไม่ เนื่องจากคู่กรณีไม่ได้กดตอบรับ,1.1 ได้รับเอกสารเรียบร้อยแล้ว และ,,,,,,,,,,
,,,,,,,,การเข้าระบบ,การยื่นคำขอขยายระยะเวลาเข้ามา ถือว่า,,,,,,,,,,
,,,,,,,,,เป็นการตอบการรับใช้ระบบงาน,,,,,,,,,,
,,,,,,,,, อิเล็กทรอนิกส์อัตโนมัติโดยไม่ต้องกด,,,,,,,,,,
,,,,,,,,,ตอบรับการเข้าระบบอีกรอบ,,,,,,,,,,
,,,,,,,,,1.2 เฉพาะคดี อ.2346/67 ไม่มีชื่อ,,,,,,,,,,
,,,,,,,,,ผู้รับมอบอำนาจ จึงประสานงาน ,,,,,,,,,,
,,,,,,,,,จนท.รับฟ้องดึงข้อมูลจากศาลต้นอีกครั้ง,,,,,,,,,,
,,,,,,,,,และเช็คการได้รับคำขอกับพนักงานคดี,,,,,,,,,,
,,,,,,,,,ทั้ง 3 คดีว่าได้รับทราบแล้วหรือไม่,,,,,,,,,,
,,,,,,,,2.หากศาลมีคำสั่งสามารถทราบคำสั่ง ,2. ตอบข้อซักถามกรณีมีหมายส่งไปจะมี,,,,,,,,,,
,,,,,,,,และดูเอกสารได้อย่างไร,ข้อความแจ้งเตือนผ่านมือถือที่ให้ไว้ต่อ,,,,,,,,,,
,,,,,,,,,ศาลว่ามีหมายหรือเอกสารส่งไป แล้ว,,,,,,,,,,
,,,,,,,,,สามารถเข้าไปในระบบเปิดดูเอกสาร,,,,,,,,,,
,,,,,,,,,ได้เลย,,,,,,,,,,
2025-01-06 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,แจ้งว่าได้รับหมาย ต. 5 แต่ไม่สามารถ,ประสานเทคโนให้ดูระบบให้ซึ่งปรากฏ,,,,,,,,,,
,,,,,,,การใช้งาน,เปิดไฟล์เอกสารแนบ (PDF) ได้,เอกสารและสามารถเปิดไฟล์ (PDF) ได้ ,,,,,,,,,,
,,,,,,,,,จึงแจ้งให้คุณนพดล ลองออกจากระบบ,,,,,,,,,,
,,,,,,,,,และเข้าระบบใหม่ก็สามารถเปิดไฟล์ ,,,,,,,,,,
,,,,,,,,,(PDF) ได้ (สาเหตุน่าจะเกิดจากเน็ตช้า),,,,,,,,,,
2025-01-08 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,แจ้งว่าผู้รับมอบอำนาจช่วงฝ่ายผู้อุทธรณ์,ตรวจสอบในระบบคดีปกครองพบว่า ,,,,,,,,,,
,,,,,,,การใช้งาน, ได้ยื่นคำขอขยายระยะเวลายื่นคำแก้อุทธรณ์,ศาลได้มีหนังสือแจ้งคำสั่งศาล (ธ.22) ,,,,,,,,,,
,,,,,,,, เมื่อวันที่ 27 ธ.ค. 67 จึงอยากทราบว่า,ลว. 8 ม.ค. 68 เวลา 09.31 น. ,,,,,,,,,,
,,,,,,,,ศาลได้มีคำสั่งอนุญาตหรือไม่,ศาลอนุญาตให้ขยายระยะเวลายื่นคำแก้,,,,,,,,,,
,,,,,,,,,อุทธรณ์ตามที่ขอ,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,แจ้งว่าผู้รับมอบอำนาจช่วงฝ่ายผู้อุทธรณ์,ตรวจสอบในระบบคดีปกครองพบว่า,,,,,,,,,,
,,,,,,,การใช้งาน,ได้ยื่นคำขอขยายระยะเวลายื่นคำแก้อุทธรณ์,อยู่ระหว่างการพิจารณาของศาล,,,,,,,,,,
,,,,,,,,เมื่อวันที่ 27 ธ.ค. 67จึงอยากทราบว่าศาล,,,,,,,,,,,
,,,,,,,,ได้มีคำสั่งอนุญาตหรือไม่,,,,,,,,,,,
2025-01-14 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,คู่กรณีไม่ได้รับเอกสารแนบ ธ.19 ,แจ้งเจ้าหน้าที่ออกหมายให้กดนำเข้า,,,,,,,,,,
,,,,,,,การใช้งาน,ในระบบ e-court,เอกสาร ,,,,,,,,,,
2025-01-17 00:00:00,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,สอบถามการอัปโหลดไฟล์ เนื่องจาก,แจ้งขั้นตอนการปฏิบัติ และแนะนำการ,,,,,,,,,,
,,,,,,,การใช้งาน,ส่งไม่ผ่าน,สแกนไฟล์เอกสารเพื่อความสะดวกให้แก่,,,,,,,,,,
,,,,,,,,,คู่กรณี,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้ฟ้องคดีได้ยื่นคำร้องอุทธรณ์คำสั่ง ลว. ,อยู่ในขั้นตอนการดำเนินกระบวน,,,,,,,,,,
,,,,,,,การใช้งาน,6 พ.ย. 67 อยากทราบความคืบหน้าว่า,พิจารณาคดีของศาล,,,,,,,,,,
,,,,,,,,ท่านมีคำสั่งอย่างไร,,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ผู้ฟ้องคดี ได้ยื่นคำขอส่งเอกสารเพิ่มเติม,ตรวจสอบในระบบแล้วยังไม่พบเอกสาร,,,,,,,,,,
,,,,,,,การใช้งาน,ตามคำสั่งศาลในระบบคดี e จึงอยากทราบว่า,ตามที่แจ้งมา และได้แจ้งเทคโนให้,,,,,,,,,,
,,,,,,,,ศาลได้รับเอกสารที่ส่งมาหรือไม่, ตรวจสอบพบว่าผู้ฟ้องคดีเลือกหัวข้อ,,,,,,,,,,
,,,,,,,,,เอกสารไม่ครบ ทำให้การยื่นเอกสาร,,,,,,,,,,
,,,,,,,,,ไม่สำเร็จ เทคโนได้โทรแจ้งผู้ฟ้องคดี,,,,,,,,,,
,,,,,,,,,ให้ดำเนินการตามขั้นตอนอีกครั้ง ,,,,,,,,,,
,,บุคคลทั่วไป,,,,,ขั้นตอนปฏิบัติ/,ติดตามการยื่นคำร้องขอขยายระยะเวลา,แจ้ง พคป. เพื่อทราบและดำเนินการ,,,,,,,,,,
,,,,,,,การใช้งาน,,,,,,,,,,,,
2025-01-29 00:00:00,,ผู้รับมอบอำนาจ,,,,,,ได้ยื่นคำขอขยายระยะเวลาการยื่น,ตรวจสอบในระบบ พบว่าศาลได้มี,,,,,,,,,,
,,คู่กรณีในอุทธรณ์,,,,,,คำแก้อุทธรณ์ เมื่อวันที่ 13 ม.ค. 68 จึงอยาก,หมายแจ้ง ธ.22 ส่งทางระบบ,,,,,,,,,,
,,,,,,,,ทราบว่าศาลมีคำสั่งอย่างไร,ระบบอิเล็กทรอนิกส์ ถึง ผรม. ,,,,,,,,,,
,,,,,,,,,เมื่อวันที่ 20 ม.ค. 68 เวลา 14.25 น. ,,,,,,,,,,
,,,,,,,,,แจ้งผรม. ทราบ,,,,,,,,,,
2025-01-30 00:00:00,,ผู้รับมอบอำนาจ,,,,,,ผรม. ได้ยื่นคำขอขยายระยะเวลา,ตรวจสอบในระบบ พบว่าศาลยังไม่มี,,,,,,,,,,
,,คู่กรณีในอุทธรณ์,,,,,,การยื่นคำแก้อุทธรณ์ เมื่อวันที่ 20 ม.ค. 68,คำสั่ง จึงแจ้ง ผรม. ว่าอยู่ระหว่างท่านมี,,,,,,,,,,
,,,,,,,, จึงอยากทราบว่าศาลมีคำสั่งอย่างไร,คำสั่ง และแจ้งพคป. เพื่อทราบและ,,,,,,,,,,
,,,,,,,,,ดำเนินการต่อไป,,,,,,,,,,
,,ผู้รับมอบอำนาจ,,,,,,แจ้งว่าได้รับ mail แจ้งการส่งหมาย ต.5,อาจจะเกิดจากความไม่เสถียรของ,,,,,,,,,,
,,ผู้ถูกฟ้องคดี,,,,,,เมื่อเข้าระบบคดีเพื่อเปิดดูไฟล์เอกสาร,อินเตอร์เนตแนะนำให้กดรีเฟรช,,,,,,,,,,
,,,,,,,,ประกอบ ไม่สามารถเปิดดูได้, หรือออกระบบและลองเข้าใหม่,,,,,,,,,,
2025-01-31 00:00:00,,ผู้รับมอบอำนาจ,,,,,,คุณณัฐพัธ แจ้งว่า ได้ยื่นคำขอตอบรับการใช้,ตรวจสอบในระบบพบว่ารับฟ้องยังไม่ได้,,,,,,,,,,
,,ผู้ถูกฟ้องคดี,,,,,,ระบบงานคดีอิเล็กทรอนิกส์ และยื่นใบมอบ,เพิ่มข้อมูลผู้รับมอบอำนาจ จึงประสาน,,,,,,,,,,
,,,,,,,,อำนาจของคุณสรศักดิ์ และใบรับมอบอำนาจ,รับฟ้องเพื่อเพิ่มชื่อผู้รับมอบอำนาจ,,,,,,,,,,
,,,,,,,,ของคุณณัฐพัท ต่อศาล เมื่อวันที่ 13 ม.ค. 68 ,,,,,,,,,,,
,,,,,,,,จึงได้เข้าระบบอิเล็กทรอนิกส์เพื่อจะตรวจดู,,,,,,,,,,,
,,,,,,,,เอกสารในคดี ซึ่งระบบยังไม่เชื่อมต่อให้ดู,,,,,,,,,,,
,,,,,,,,เอกสารในคดีได้,,,,,,,,,,,
2025-02-06 00:00:00,,บุคคลทั่วไป,,,,,,ผู้ฟ้องคดีได้ยื่นคำขอตรวจสำนวน ลว. 6 ก.พ. ,คดีอยู่ในในขั้นตอนการตรวจรับ,,,,,,,,,,
,,,,,,,,68 อยากทราบว่าท่านมีคำสั่งอนุญาตหรือไม่,คำอุทธรณ์ของศาล เมื่อศาลมีคำสั่ง,,,,,,,,,,
,,,,,,,,,จะแจ้งผู้ฟ้องคดีเพื่อทราบ,,,,,,,,,,
,,บุคคลทั่วไป,,,,,,คุณสัมฤทธิ์ สอบถามวิธีการลงทะเบียนใช้,แนะนำการสมัครและลงทะเบียน,,,,,,,,,,
,,,,,,,,งานอิเล็กทรอนิกส์ในศาลปกครองสูงสุด,การเข้าใช้งานอิเล็กทรอนิกส์,,,,,,,,,,
,,บุคคลทั่วไป,,,,,,นายธีรเดช ยื่นคำขออื่นๆ (ขอขยายระยะเวลา,สอบถาม พคป. เจ้าของสำนวน ได้รับ,,,,,,,,,,
,,,,,,,,ยื่นคำให้การไปอีก 30 วัน) ลว. 30 ม.ค. 68,แจ้งว่าศาลมีคำสั่งอนุญาต และจะส่ง,,,,,,,,,,
,,,,,,,,อยากทราบว่าศาลมีคำสั่งอนุญาตหรือไม่,หมายแจ้งให้นายธีรเดช ทราบต่อไป ,,,,,,,,,,
,,,,,,,,,(โทรแจ้งทราบคำสั่งศาลเบื้องต้น),,,,,,,,,,
2025-02-14 00:00:00,,บุคคลทั่วไป,,,,,,คุณประกายรัตน์ ได้ยื่นคำขอขยายระยะเวลา,ตรวจสอบในระบบ พบว่าอยู่ในขั้นตอน,,,,,,,,,,
,,,,,,,,ทำคำแก้อุทธรณ์ ลว. 27 ม.ค. 68 ,พิจารณาของศาล จึงแจ้งพคป. เพื่อทราบ,,,,,,,,,,
,,,,,,,,อยากทราบว่า ศาลมีคำสั่งอนุญาตหรือไม่,และต่อมาศาลได้มีคำสั่งอนุญาตตาม,,,,,,,,,,
,,,,,,,,,คำขอโทรแจ้งคุณประกายรัตน์ เพื่อทราบ,,,,,,,,,,
2025-02-18 00:00:00,,บุคคลทั่วไป,,,,,,สอบถามลำดับผู้อุทธรณ์ และคู่กรณีในอุทธรณ์,ตรวจสอบจากระบบงานคดีปกครอง,,,,,,,,,,
,,,,,,,,เนื่องจากเป็นการอุทธรณ์ทั้งสองฝ่าย,และแจ้งคุณกิตติศักดิ์ ทราบ,,,,,,,,,,
2025-02-20 00:00:00,,บุคคลทั่วไป,,,,,,คำอุทธรณ์ของผู้ถูกฟ้องคดีที่ 1 ,โทรปรึกษา พคป.เพื่อตรวจสอบเอกสาร,,,,,,,,,,
,,,,,,,,ขาดเอกสารหน้าที่ 8,ในสำนวนเพื่อเช็คว่าเอกสารหน้า 8 ใน,,,,,,,,,,
,,,,,,,,,ในสำนวนมีหรือไม่ ปรากฏว่าเอกสาร,,,,,,,,,,
,,,,,,,,,ครบถ้วนจึงนำเอกสารสแกนเข้าในระบบ,,,,,,,,,,
,,,,,,,,,ระบบใหม่ คือ 1.ลบไฟล์และหัวข้อเดิม,,,,,,,,,,
,,,,,,,,, 2.สร้างหัวข้อและสแกนเอกสารใหม่ ,,,,,,,,,,
,,,,,,,,,3.นำเข้าข้อมูลอิเล็กฯ,,,,,,,,,,
2025-02-28 00:00:00,,บุคคลทั่วไป,,,,,,คุณวัฒนศักดิ์แจ้งว่าได้รับหมาย ต.11.2 ,ตรวจสอบในระบบงานคดีพบว่า,,,,,,,,,,
,,,,,,,,ลว. 25 ก.พ. 68 (ลำดับที่ 82) ทางระบบงาน,สรุปข้อเท็จจริงของตุลาการเจ้าของ,,,,,,,,,,
,,,,,,,,คดีอิเล็กทรอนิกส์ แต่ไม่พบสรุปข้อเท็จจริง,สำนวน ฉบับ ลว. 25 ก.พ. 68 อยู่ใน,,,,,,,,,,
,,,,,,,,ของตุลาการเจ้าของสำนวน,ลำดับที่ 78 ของสำนวนคดีอิเล็กทรอนิกส์,,,,,,,,,,
,,,,,,,,,โทรแจ้งคุณวัฒนศักดิ์เพื่อทราบ,,,,,,,,,,
