วันและเวลา ที่ให้คำปรึกษาแนะนำ,วิธีขอรับคำปรึกษา,สถานะของผู้ขอคำปรึกษา,อาชีพ,ภูมิลำเนา (จังหวัดอื่นโปรดระบุช่องอื่นๆ),ประเภทของคดีที่ให้คำปรึกษา,คดีตามมาตรา,ประเด็นที่ขอคำปรึกษา (เลือกได้หลายช่อง),ข้อเท็จจริง/ประเด็นที่ขอคำปรึกษาแนะนำ ,ผลการให้คำปรึกษาแนะนำ
2025-01-09 09:21:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ทนายความ,ไม่ทราบ / ไม่แจ้ง,,,ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง,"สอบถามเรื่องเขตอำนาจศาล ว่าจะฟ้องศาลปกครองที่ใหน  
","  แนะนำว่า พระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒ มาตรา ๔๗  การฟ้องคดีที่อยู่ในเขตอำนาจของศาลปกครองชั้นต้น ให้ยื่นฟ้องต่อศาลปกครองชั้นต้นที่ผู้ฟ้องคดีมีภูมิลำเนาหรือที่มูลคดีเกิดขึ้นในเขตศาลปกครองชั้นต้นนั้น 
    กล่าวคือ เจตนาเพื่อให้ความสะดวกกับผู้ฟ้องคดี จึงให้สิทธิที่จะเลือกฟ้องศาลปกครองได้ศาลใดศาลหนึ่ง"
2025-01-08 14:09:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),ผู้ฟ้องคดี,ธุรกิจส่วนตัว/ค้าขาย/รับจ้าง,ไม่ทราบ / ไม่แจ้ง,การพัสดุและสัญญาของฝ่ายปกครอง,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง",ผู้ขอคำปรึกษาเป็นฝ่ายผู้ฟ้องคดีซึ่งศาลปกครองกลางได้มีคำพิพากษาให้ผู้ถูกฟ้องคดีชดใช้ค่าเสียหายให้แก่ผู้ฟ้องคดี คดีถึงที่สุดแล้วโดยไม่มีการอุทธรณ์ต่อศาลปกครองสูงสุด แต่ผู้ถูกฟ้องคดีไม่ยอมจ่ายเงินให้แก่ผู้ฟ้องคดี และมีความประสงค์จะขอคัดสำเนาเอกสารในคดี จะต้องดำเนินการอย่างไร,ได้ให้คำแนะนำว่า กรณีนี้เมื่อคดีถึงที่สุดแล้ว การดำเนินการให้เป็นไปตามคำพิพากษาของศาลจะอยู่ในอำนาจหน้าที่ของสำนักบังคับคดี จึงแนะนำให้ผู้ขอคำปรึกษาประสานติดต่อกับสำนักบังคับคดีต่อไป รวมทั้งให้ผู้ขอคำปรึกษายื่นคำร้องขอให้ศาลปกครองบังคับหน่วยงานทางปกครองให้ปฏิบัติตามคำพิพากษาในคดีดังกล่าวควบคู่ไปด้วย สำหรับกรณีที่ผู้ขอคำปรึกษามีความประสงค์จะขอตรวจดูเอกสารและคัดสำเนาเอกสารในสำนวนคดีนั้น ผู้ขอคำปรึกษามีสิทธิขอตรวจดูเอกสารและขอคัดสำเนาเอกสารในสำนวนคดีได้ ตามข้อ 17 ข้อ 18 ประกอบข้อ 20 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 โดยใช้แบบฟอร์มคำร้อง/คำขอทั่วไป (ค.2) 
2025-01-08 15:38:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,ไม่ระบุประเภทคดี,อื่นๆ,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด",ผู้ขอคำปรึกษาสอบถามว่า การอุทธรณ์คำพิพากษาของศาลปกครองชั้นต้นมีระยะเวลาเท่าใด ขอขยายระยะเวลาได้หรือไม่ ต้องยื่นต่อศาลใด และสามารถส่งทางไปรษณีย์ได้หรือไม่,ได้ให้คำแนะนำว่า การคัดค้านคำพิพากษาของศาลปกครองชั้นต้นให้ยื่นอุทธรณ์ภายในกำหนดสามสิบวันนับแต่วันที่ได้มีคำพิพากษา และเนื่องจากระยะเวลาดังกล่าวเป็นระยะเวลาที่กำหนดไว้ในมาตรา 73 แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 จึงไม่อาจขอขยายระยะเวลาดังกล่าวได้ โดยคำอุทธรณ์ให้ยื่นต่อศาลปกครองชั้นต้นที่มีคำพิพากษา และผู้อุทธรณ์สามารถส่งคำอุทธรณ์ทางไปรษณีย์ลงทะเบียนได้ โดยให้ถือว่าวันที่ส่งคำอุทธรณ์แก่เจ้าพนักงานไปรษณีย์เป็นวันที่ยื่นอุทธรณ์ต่อศาลปกครอง
2025-01-08 13:55:00,โทรศัพท์สายด่วน 1355,ผู้ถูกฟ้องคดี,ธุรกิจส่วนตัว/ค้าขาย/รับจ้าง,ไม่ทราบ / ไม่แจ้ง,การพัสดุและสัญญาของฝ่ายปกครอง,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ผู้ขอคำปรึกษาเป็นฝ่ายผู้ถูกฟ้องคดี ได้รับหมายแจ้งคำสั่งศาล โดยศาลส่งคำแถลงของผู้ถูกฟ้องคดี ฉบับลงวันที่ 24 ธันวาคม 2567 คืน และให้ส่งตามวิธีการที่กฎหมายกำหนดให้ถูกต้อง ภายในวันที่ 10 มกราคม 2568 หมายความว่าอย่างไร และจะต้องดำเนินการอย่างไร,ได้ให้คำแนะนำว่า เนื่องจากผู้ถูกฟ้องคดีได้ทำคำแถลง ฉบับลงวันที่ 24 ธันวาคม 2567 โดยไม่รับรองสำเนาเอกสารทุกหน้า และได้ส่งเอกสารต่อศาลทางบริษัทไปรษณีย์เอกชน จึงเป็นการยื่นเอกสารหรือพยานหลักฐานต่อศาลที่ไม่เป็นไปตามข้อ 13 วรรคหนึ่ง แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 ศาลจึงได้มีหมายแจ้งคำสั่งศาล ฉบับลงวันที่ 7 มกราคม 2568 โดยให้ผู้ถูกฟ้องคดีจัดทำสำเนาเอกสารที่รับรองความถูกต้องให้ครบถ้วน และหากประสงค์จะยื่นคำแถลงต่อศาลให้ผู้ถูกฟ้องคดียื่นด้วยตนเองหรือมอบฉันทะให้ผู้อื่นยื่นต่อศาลหรือต่อพนักงานเจ้าหน้าที่ของศาล หรือส่งทางไปรษณีย์ไทยแบบลงทะเบียนไปยังศาลปกครอง ภายในวันที่ 10 มกราคม 2568
2025-01-09 09:19:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,การเวนคืนอสังหาริมทรัพย์,มาตรา 9 วรรค 1 (3) คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด",ศาลปกครองกลางได้มีคำพิพากษา เมื่อวันที่ 19 ธันวาคม 2567 หากมีความประสงค์จะอุทธรณ์คำพิพากษา สามารถขอขยายระยะเวลาการอุทธรณ์ต่อศาลได้หรือไม่,ได้ให้คำแนะนำว่า การคัดค้านคำพิพากษาของศาลปกครองชั้นต้นให้ยื่นอุทธรณ์ภายในกำหนดสามสิบวันนับแต่วันที่ได้มีคำพิพากษา และเนื่องจากระยะเวลาดังกล่าวเป็นระยะเวลาที่กำหนดไว้ในมาตรา 73 แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 จึงไม่อาจขอขยายระยะเวลาดังกล่าวได้ โดยคำอุทธรณ์ให้ยื่นต่อศาลปกครองชั้นต้นที่มีคำพิพากษา และผู้อุทธรณ์สามารถยื่นคำอุทธรณ์ด้วยตนเองหรือมอบฉันทะให้ผู้อื่นยื่นต่อศาลหรือต่อพนักงานเจ้าหน้าที่ของศาล หรือจะส่งคำอุทธรณ์ทางไปรษณีย์ลงทะเบียนก็ได้ โดยให้ถือว่าวันที่ส่งคำอุทธรณ์แก่เจ้าพนักงานไปรษณีย์เป็นวันที่ยื่นอุทธรณ์ต่อศาลปกครอง ตามข้อ 13 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543  
2025-01-09 09:58:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),ทนายความ,ทนายความ,ไม่ทราบ / ไม่แจ้ง,การพัสดุและสัญญาของฝ่ายปกครอง,มาตรา 9 วรรค 1 (4) คดีพิพาทเกี่ยวกับสัญญาทางปกครอง,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง, กระบวนวิธีพิจารณาคดีปกครอง/แสวงหาข้อเท็จจริง",ผู้ขอคำปรึกษาเป็นทนายความมีความประสงค์จะฟ้องหน่วยงานทางปกครองกรณีเกี่ยวกับสัญญาทางปกครอง จึงขอสอบถามเกี่ยวกับกระบวนการขั้นตอนการพิจารณาคดีของศาลปกครอง,ได้ให้คำแนะนำว่า กระบวนการขั้นตอนการพิจารณาคดีของศาลปกครองนั้น จะเริ่มต้นเมื่อผู้ฟ้องคดีได้ยื่นคำฟ้องต่อศาล หากศาลเห็นว่าคำฟ้องดังกล่าวเป็นคำฟ้องที่สมบูรณ์ครบถ้วน ให้มีคำสั่งรับคำฟ้องและมีคำสั่งให้ผู้ถูกฟ้องคดีทำคำให้การ ตามข้อ 42 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 เมื่อผู้ถูกฟ้องคดียื่นคำให้การต่อศาลแล้ว ศาลจะส่งสำเนาคำให้การพร้อมทั้งสำเนาพยานหลักฐานไปยังผู้ฟ้องคดีเพื่อให้ผู้ฟ้องคดีคัดค้านหรือยอมรับคำให้การหรือพยานหลักฐานที่ผู้ถูกฟ้องคดียื่นต่อศาล ถ้าผู้ฟ้องคดีประสงค์จะคัดค้านคำให้การ ให้ทำคำคัดค้านคำให้การยื่นต่อศาลพร้อมสำเนาตามจำนวนและระยะเวลาที่ศาลกำหนด ถ้าผู้ฟ้องคดีไม่ประสงค์จะทำคำคัดค้านคำให้การ แต่ประสงค์จะให้ศาลพิจารณาพิพากษาคดีต่อไปให้ผู้ฟ้องคดีแจ้งเป็นหนังสือให้ศาลทราบภายในกำหนดระยะเวลาดังกล่าว มิเช่นนั้น ศาลจะสั่งจำหน่ายคดีออกจากสารบบความก็ได้ ตามข้อ 47 แห่งระเบียบฉบับเดียวกัน ซึ่งคำคัดค้านคำให้การของผู้ฟ้องคดีให้มีได้เฉพาะในประเด็นที่ได้ยกขึ้นกล่าวในคำฟ้อง คำให้การ หรือที่ศาลกำหนด ถ้าผู้ฟ้องคดีทำคำคัดค้านคำให้การโดยมีประเด็นหรือคำขอเพิ่มขึ้นใหม่ต่างจากคำฟ้อง คำให้การ หรือที่ศาลกำหนด ให้ศาลสั่งไม่รับประเด็นหรือคำขอใหม่นั้นไว้พิจารณา และศาลจะส่งสำเนาคำคัดค้านคำให้การของผู้ฟ้องคดีให้ผู้ถูกฟ้องคดีเพื่อทำคำให้การเพิ่มเติมต่อศาลภายในระยะเวลาที่ศาลกำหนด เมื่อศาลได้รับคำให้การเพิ่มเติมจากผู้ถูกฟ้องคดีแล้ว ศาลจะส่งสำเนาคำให้การเพิ่มเติมนั้นให้แก่ผู้ฟ้องคดี ตามข้อ 48 ประกอบข้อ 49 แห่งระเบียบฉบับเดียวกัน ทั้งนี้ หากศาลเห็นว่าคดีมีข้อเท็จจริงเพียงพอที่ศาลจะพิจารณาพิพากษาหรือมีคำสั่งชี้ขาดคดีโดยไม่มีกรณีที่จะต้องแสวงหาข้อเท็จจริงเพิ่มเติม ศาลจะมีคำสั่งกำหนดวันหนึ่งวันใดเป็นวันสิ้นสุดการแสวงหาข้อเท็จจริงในคดีนั้น โดยจะแจ้งให้คู่กรณีทราบกำหนดวันสิ้นสุดการแสวงหาข้อเท็จจริงล่วงหน้าไม่น้อยกว่าสิบวัน หากคู่กรณีมีข้อเท็จจริงที่จะแถลงต่อศาลเพิ่มเติม ก็สามารถจัดทำคำแถลงยื่นต่อศาลก่อนวันสิ้นสุดการแสวงหาข้อเท็จจริงดังกล่าวได้ ซึ่งบรรดาคำฟ้องเพิ่มเติม คำให้การ คำคัดค้านคำให้การ คำให้การเพิ่มเติม รวมทั้งพยานหลักฐานอื่น ๆ ที่ยื่นต่อศาลหลังวันสิ้นสุดการแสวงหาข้อเท็จจริง ไม่ให้ศาลรับไว้เป็นส่วนหนึ่งของสำนวนคดี ตามข้อ 62 แห่งระเบียบฉบับเดียวกัน หลังจากนั้นศาลจะจัดให้มีการนั่งพิจารณาคดีอย่างน้อยหนึ่งครั้ง เพื่อให้คู่กรณีมีโอกาสมาแถลงด้วยวาจาต่อหน้าศาล ซึ่งศาลจะแจ้งกำหนดวันนั่งพิจารณาคดีครั้งแรกให้คู่กรณีทราบล่วงหน้าไม่น้อยกว่าเจ็ดวัน ซึ่งคู่กรณีสามารถยื่นคำแถลงเป็นหนังสือต่อศาลได้ก่อนวันนั่งพิจารณาคดีหรืออย่างช้าที่สุดในระหว่างการนั่งพิจารณาคดี และคำแถลงดังกล่าวจะยกข้อเท็จจริงที่ไม่เคยยกขึ้นอ้างไว้แล้วไม่ได้ เว้นแต่เป็นข้อเท็จจริงที่เป็นประเด็นสำคัญในคดีซึ่งคู่กรณีผู้ยื่นสามารถพิสูจน์ได้ว่ามีเหตุจำเป็นหรือพฤติการณ์พิเศษที่ทำให้ไม่อาจเสนอต่อศาลได้ก่อนหน้านั้น โดยในวันนั่งพิจารณาคดีครั้งแรก คู่กรณีจะไม่มาศาลก็ได้ ตามข้อ 83 ประกอบข้อ 84 แห่งระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง พ.ศ. 2543 หลังจากนั้นศาลจะได้นัดฟังคำพิพากษาของศาลในคดีดังกล่าวต่อไป
2024-09-23 08:53:00,โทรศัพท์สายด่วน 1355,ผู้ฟ้องคดี,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,,การอุทธรณ์คำพิพากษา/คำสั่งต่อศาลปกครองสูงสุด,ผู้ขอคำปรึกษาเป็นผู้ยื่นฟ้องคดีต่อศาลปกครองกลาง  คดีนี้ ศาลได้มีคำสั่งไม่รับคำฟ้องไว้พิจารณา จึงขอสอบถามเกี่ยวกับการโต้แย้งคำสั่งศาลไม่รับฟ้องต่อศาลปกครองสูงสุด,ข้อ 49/1 แห่งระเบียบของที่ประชุมใหญ่ฯว่าด้วยวิธีพิจารณาคดีปกครองฯกำหนด คำสั่งของศาลปกครองชั้นต้นที่ไม่รับคำฟ้องไว้พิจารณา คำสั่งจำหน่ายคดีออกจากสารบบความโดยไม่มีการวินิจฉัยชี้ขาดคดี คำสั่งลงโทษฐานละเมิดอำนาจศาลตามมาตรา ๖๔ หรือคำสั่งอื่นใดซึ่งไม่ต้องห้ามอุทธรณ์ระหว่างพิจารณาตามข้อ 100 วรรคสอง ผู้มีส่วนได้เสียมีสิทธิยื่นคำร้องอุทธรณ์คำสั่งดังกล่าวต่อศาลปกครองสูงสุดภายในกำหนดระยะเวลาสามสิบวันนับแต่วันที่ได้รับแจ้งคำสั่งของศาลปกครองชั้นต้นนั้น ดังนั้น หากผู้ฟ้องคดีไม่เห็นด้วยกับคำสั่งไม่รับคำฟ้องไว้พิจารณา ผู้ฟ้องคดีจะต้องยื่นอุทธรณ์คำสั่งไม่รับคำฟ้องไว้พิจารณาต่อศาลปกครองสูงสุดโดยผ่านศาลปกครองชั้นต้นภายใน 30 วันนับแต่วันที่ได้รับคำสั่ง โต้แย้งประเด็นที่ศาลปกครองชั้นต้นมีคำสั่งไม่รับคำฟ้องเพื่อขอให้ศาลปกครองสูงสุดกลับคำสั่งของศาลปกครองชั้นต้นและรับคำฟ้องของผู้ฟ้องคดีไว้พิจารณา
2025-09-23 09:53:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,,มาตรา 9 วรรค 1 (1) คดีพิพาทเกี่ยวกับการที่หน่วยงานทางปกครองหรือเจ้าหน้าที่ของรัฐ กระทำการโดยไม่ชอบด้วยกฎหมาย,การร้องสอด,ผู้ขอคำปรึกษาเป็นข้าราชการสังกัดกรมศุลกากรได้รับความเดือดร้อนเสียหายจากการที่อธิบดีกรมศุลกากรมีคำสั่งให้ผู้ขอคำปรึกษาชดใช้เงิน เนื่องจากการที่ผู้ขอคำปรึกษากระทำละเมิดจากดำเนินการคืนภาษีผิดผลาดเป็นเหตุให้ราชการเสียหาย และปลัดกระทรวงการการคลังมีผลการพิจารณาอุทธรณ์ยื่นตามคำสั่งของอธิบดี กรณีคำสั่งให้ชดใช้เงินจากการกระทำละเมิดดังกล่าวมีต้องรับผิดชดใช้เงินหลายคน และมีผู้ยื่นฟ้องคดีต่อศาลปกครองบางส่วนแล้ว ผู้ขอคำปรึกษาขอสอบถามว่า ในกรณีประสงค์ฟ้องเพิกถอนคำสั่งให้ชดใช้ค่าเสียหายจากการคืนภาษีผิด จะร้องสอดหรือจะฟ้องรวมผู้ฟ้องคดีที่เคยยื่นได้หรือไม่,การร้องสอด คือ การที่บุคคลซึ่งมิได้เป็นคู่กรณีในศาลปกครองมาแต่แรก ได้เข้ามาเป็นคู่กรณีภายหลังจากที่มีคดีอยู่ในศาลปกครองแล้ว ทั้งนี้ การขอเข้ามาในคดีตามมาตรา ๙ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒ จะต้องขอก่อนศาลปกครองชั้นต้นมีคำพิพากษาหรือคำสั่งชี้ขาดคดี ซึ่งจะทำในคดีที่อุทธรณ์คำพิพากษาหรือคำสั่งสู้คดีของศาลปกครองชั้นต้นไม่ได้ ส่วนการร้องสอดโดยการขอเข้ามาในคดีตามมาตรา ๑๑ แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. ๒๕๔๒ สามารถฟ้องต่อศาลปกครองสูงสุดโดยตรงได้ก่อนศาลปกครองสูงสุดมีคำพิพากษาหรือมีคำสั่งชี้ขาดคดี อนึ่ง การอนุญาตให้ร้องสอดเข้ามาในคดีเป็นดุลพินิจของศาลที่จะอนุญาตหรือไม่และการร้องสอดเข้ามาในคดีเป็นสิทธิของบุคคลภายนอก เพราะหากบุคคลภายนอกไม่ร้องสอดเข้ามาในคดีอาจเสียประโยชน์ของตนเมื่อศาลปกครองมีคำพิพากษา ดังนั้น ผู้ขอคำปรึกษาจึงมีสิทธิยื่นคำขอร้องสอดเข้ามาเป็นหนังสือโดอธิยานว่าผู้ขอคำปรึกษาเป็นผู้เดือดร้อนเสียหายผู้ถูกฟ้องคดีของศาลปกครองกลางคดีหมายเลขดำที่ …../….. จากการกระทำดังกล่าว ผู้ฟ้องคดีเห็นว่าการออกคำสั่งให้ผู้ร้องสอดไม่ชอบด้วยกฎหมายเนื่องจากอะไร จึงขอร้องสอดเข้ามาเป็นคู่ความในคดีเพื่อประโยชน์แห่งความยุติธรรม
2025-09-23 10:10:00,โทรศัพท์สายด่วน 1355,บุคคลทั่วไป,ไม่ระบุ,ไม่ทราบ / ไม่แจ้ง,การกระทำละเมิดและความรับผิดอย่างอื่น,มาตรา 9 วรรค 1 (3) คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง",ผู้ขอคำปรึกษาได้รับความเดือดร้อนเสียหายจากการที่แขวงทางหลวง กรมทางหลวงปล่อยให้มีคนลักฝาท่อ จนเป็นเหตุให้ประสบอุบัติเหตุตกท่อระบายน้ำ ต้องเข้ารักษาพยาบาลและขาดงาน จึงสอบถามการฟ้องเรียกค่าเสียหายจากการที่ไม่ปิดท่อระบายน้ำของแขวงทางหลวง, พระราชกฤษฎีกาแบ่งส่วนราชการกรมทางหลวง กระทรวงคมนาคม พ.ศ. 2545 ข้อ 12 กำหนดว่า แขวงทางหลวงมีอำนาจหน้าที่ (3) ในการบำรุงรักษาและความปลอดภัยทางหลวงฯ   เมื่อปรากฏว่า แขวงทางหลวงไม่ดำเนินการดูแลรักษาท่อระบายน้ำท่วมออกจากไหล่ทางจน เป็นเหตุให้ผู้ขอคำปรึกษาประสบอุบัติเหตุจนต้องเข้ารักษาพยาบาลที่โรงพยาบาลและขาดงาน จึงมีความประสงค์ฟ้องเรียกค่าเสียหายจากการละเมิดดังกล่าวนั้นเป็นคดีพิพาทเกี่ยวกับคดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่นของหนวยงานทางปกครองหรือเจ้าหน้าที่ของรัฐอันเกิดจากการใช้อํานาจตามกฎหมาย หรือจากกฎ คำสั่งทางปกครองตามมาตรา ๙ วรรคหนึ่ง (๓) แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ  ผู้ขอคำปรึกษาจะต้องใช้สิทธิยื่นฟ้องภายในหนึ่งปีนับแต่วันที่รู้หรือควรรู้ถึงเหตุแห่งการฟ้องคดี แต่ไม่เกินสิบปีนับแต่วันที่มีเหตุแห่งการฟ้องคดีตามมาตรา ๕๑ แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ  การจัดทำคำฟ้องเป็นไปตามมาตรา ๔๕ แห่งพ.ร.บ.จัดตั้งศาลปกครองฯ  โดยกำหนดให้กรมทางหลวงเป็นผู้ต้องรับผิดจากการกระทำละเมิดของเจ้าหน้าที่ตามพ.ร.บความรับผิดทางละเมิดของเจ้าหน้าที่ เป็นผู้ถูกฟ้องคดี บรรยายข้อเท็จจริงว่าผุ้ฟ้องคดีเดือดร้อนเสียหายจนเป็นเหตุให้ผู้ถูกฟ้องคดีต้องชดใช้ค่าเสียหายเป็นจำนวนเงินเท่าใด คำฟ้องขอให้ชดใช้เงินทั้งสิ้นจำนวน … บาท ซึ่งการฟ้องคดีนี้มีค่าธรรมเนียมศาลในอัตราร้อยละ ๒ ของจำนวนทุนทรัพย์ในคดี
2024-09-23 11:00:00,มาด้วยตนเอง (ห้องปรึกษา 1-3),บุคคลทั่วไป,ไม่ระบุ,สมุทรปราการ,การพัสดุและสัญญาของฝ่ายปกครอง,มาตรา 9 วรรค 1 (3) คดีพิพาทเกี่ยวกับการกระทำละเมิดหรือความรับผิดอย่างอื่น,"ความรู้ทั่วไปเกี่ยวกับศาลปกครอง/คดีปกครอง, การจัดทำคำฟ้องหรือคำร้อง และขั้นตอนที่เกี่ยวข้อง",ผู้ขอคำปรึกษาเป็นผู้ได้รับความเดือดร้อนเสียหายจากการที่เมื่อวันที 14 พย 64 เวลา 17.10 สำนักงานตำรวจแห่งชาติได้นำกำลังตำรวจควบคุมฝูงชนเข้าควบคุมพื้นที่บริเวณสถาบันนิติเวชวิทยา โรงพยาบาลตำรวจจนทำให้ผู้ขอคำปรึกษาถูกยิงด้วยกระสุนยางได้รับบาดเจ็บต้องเข้ารักษาพยาบาล ผู้ขอคำปรึกษาได้มีหนังสือติดตามทวงถามกับสำนักงานตำรวจแห่งชาติซึ่งเป็นหน่วยงานต้นสังกัดแต่ไม่ได้มีการแจ้งกลับ จึงมีความประสงค์ฟ้องคดีต่อศาลปกครองเพื่อเรียกค่าเสียหายจากการเข้าควบคุมพื้นที่ดังกล่าวที่ไม่ชอบด้วยกฎหมาย,การใช้อำนาจในการควบคุมฝูงชนที่ชุมนุมนั้นเป็นไปตามพระราชบัญญัติการชุมนุมสาธารณะ พ.ศ. ๒๕๕๘  กรณีที่เห็นว่า สำนักงานตำรวจแห่งชาติได้นำกำลังตำรวจควบคุมฝูงชนเข้าควบคุมพื้นว่าไม่เป็นไปตามหลักเกณฑ์จนเป็นเหตุทำให้ผู้ขอคำปรึกษาบาดเจ็บจนเข้าโรงพยาบาล และมีความประสงค์ฟ้องเรียกค่าเสียหายนั้นเป็นคดีพิพาทเกี่ยวกับการกระทำละเมิดของเจ้าหน้าที่อันเกิดจากการใช้อำนาจตามกฎหมายตามมาตรา 9 วรรคหนึ่งแห่งพรบจัดตั้งศาลปกครองฯ ผู้ขอคำปรึกษาจะต้องฟ้องภายใน 1 ปีนับแต่วันที่รู้ถึงเหตุแห่งการฟ้องคดี แต่ไม่เกิน 10 ปีนับแต่วันที่เหตุเกิดขึ้นตามาตรา 51 แห่งพรบจัดตั้งศาลปกครองฯ  กผู้ขอคำปรึกษจะต้องจัดทำคำฟ้องตามมาตรา 45 แห่งพรบัดตั้งศาลปกครองฯ โดยกำหนดให้สำนักง่นตำรวจแห่งชาติซึ่งเป็นหน่วยงานต้นสังกัดเป็นผู้ถูกฟ้องคดี บรรยายข้อเท็จริงว่า การควบคุมหรือเข้าควบคุมพื้นไม่ชอบด้วยกฎหมายอย่างไร และกำหนดคำขอท้ายคำฟ้องขอให้ศาลสั่งให้ผู้ถูกฟ้องคดีชดใช้เงินเป็นเงินทั้งสิ้นกี่บาท ซึ่งเป็นคำขอที่ศาลสามารถออกคำบังคับได้ตามมาตรา 72 วรรคหนึ่ง (3)แห่งพรบจัดตั้งศาลปกครองฯ ซึ่งคดีน้จะต้องเสียค่าธรรมเนียมศาลในอัตราร้อยละ 2  ของจำนวนทุนทรัพย์ในคดี
